"families","species","species.original","life.form","H","L","N","ellenberg.L","eduardo.mayor.L","eduardo.filled.L","ell_light_uk","ell_L_it","L1.fr","L2.fr","L.cz","L.land","ellenberg.H","eduardo.mayor.H","eduardo.filled.H","ell_H_uk","ell_H_it","H1.fr","H2.fr","H.cz","H.land","ellenberg.N","eduardo.mayor.N","eduardo.filled.N","ell_N_uk","ell_N_it","N1.fr","N2.fr","N.cz","N.land"
"Poaceae","Catapodium_rigidum","Catapodium_rigidum","annual",1,3,1,"9","NA","4","NA","8","NA","9","9","5","2.6666666666666665","NA","3","2.3333333330000001","2","NA","2","2","1","1","NA","5","2","4","NA","1","3","3"
"Poaceae","Chrysopogon_gryllus","Chrysopogon_gryllus","perennial",1,2,2,"NA","NA","NA","NA","9","NA","NA","NA","4","NA","NA","NA","NA","3","NA","NA","NA","1.5","NA","NA","NA","NA","3","NA","NA","NA","2"
"Poaceae","Corynephorus_canescens","Corynephorus_canescens","perennial",1,3,1,"8","NA","NA","NA","8","8","NA","8","5","2.6666666666666665","NA","NA","1.6666666670000001","3","3","NA","2","1","2","NA","NA","1.6666666670000001","2","2","NA","2","1"
"Poaceae","Corynephorus_divaricatus","Corynephorus_divaricatus","annual",1,2,2,"NA","NA","NA","NA","8","NA","NA","NA","4","NA","NA","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","1","NA","NA","NA","3"
"Poaceae","Crypsis_aculeata","Crypsis_aculeata","annual",3,3,3,"NA","NA","NA","NA","8","9","NA","9","NA","NA","NA","NA","NA","8","8","NA","7","NA","NA","NA","NA","NA","4","8","NA","7","NA"
"Poaceae","Crypsis_schoenoides","Crypsis_schoenoides","annual",3,2,3,"NA","NA","NA","NA","6","9","NA","9","NA","NA","NA","NA","NA","7","8","NA","7","NA","NA","NA","NA","NA","4","8","NA","7","NA"
"Poaceae","Cynodon_dactylon","Cynodon_dactylon","perennial",2,2,2,"8","4","4","NA","8","8","NA","8","4","5.333333333333333","2","2","3.6666666669999999","4","7","NA","3","2","5","4","4","5","4","5","NA","5","3"
"Poaceae","Cynosurus_cristatus","Cynosurus_cristatus","perennial",2,2,2,"8","4","4","7.6666666670000003","8","8","NA","8","4","6.666666666666667","3","3","5","5","5","NA","5","3","4","2","2","4.3333333329999997","4","5","NA","5","3"
"Poaceae","Cynosurus_echinatus","Cynosurus_echinatus","annual",1,3,2,"NA","5","5","NA","11","NA","NA","NA","4","NA","1","1","NA","2","NA","NA","NA","1","NA","2","2","NA","2","NA","NA","NA","4"
"Poaceae","Cynosurus_effusus","Cynosurus_effusus","annual",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
